Description,Date,Distance,Average Moving Speed,Max Speed
Altrincham to West Didsbury ,11/4/2012 17:42:00,6.01,15.26,22.81
West Didsbury to Altrincham ,13/04/2012 07:53,6.38,14.1,22.11
Altrincham to West Didsbury ,13/04/2012 17:40,6.38,13.91,22.53
West Didsbury to Altrincham ,16/04/2012 07:54,6.38,13.75,18.89
Altrincham to West Didsbury ,16/04/2012 17:47,6.34,15.66,24.63
West Didsbury to Altrincham ,17/04/2012 07:49,6.4,12.6,19.59
Altrincham to West Didsbury ,17/04/2012 17:51,6.37,15.17,28.54
West Didsbury to Altrincham ,18/04/2012 07:51,6.47,13.71,20.85
Altrincham to West Didsbury ,18/04/2012 18:04,6.32,13.49,26.17
West Didsbury to Altrincham ,19/04/2012 07:50,6.42,13.49,23.23
Altrincham to West Didsbury ,19/04/2012 17:45,6.4,13.19,23.79
West Didsbury to Altrincham ,20/04/2012 07:47,6.37,13.48,19.17
Altrincham to West Didsbury ,20/04/2012 17:40,6.35,15.11,24.07
West Didsbury to Northenden ,21/04/2012 14:47,2.16,13.85,18.19
Northenden to West Didsbury ,21/04/2012 17:49,2.11,14.86,20.57
West Didsbury to Altrincham ,23/04/2012 07:52,6.41,14.33,22.81
Altrincham to West Didsbury ,23/04/2012 17:44,6.39,13.44,21.83
West Didsbury to Altrincham ,24/04/2012 07:50,6.4,14.25,19.73
Altrincham to West Didsbury ,24/04/2012 17:44,6.38,14.93,29.52
West Didsbury to Altrincham ,25/04/2012 07:52,6.4,15.06,26.17
Altrincham to West Didsbury ,25/04/2012 17:53,6.41,12.86,23.37
West Didsbury to Altrincham ,26/04/2012 07:50,6.37,14.17,21.27
Altrincham to West Didsbury ,26/04/2012 17:45,6.37,13.91,21.69
West Didsbury to Altrincham ,27/04/2012 07:18,6.41,14.19,21.13
Altrincham to West Didsbury ,27/04/2012 17:47,12.66,14.23,26.86
Croft to Risley Moss ,28/04/2012 14:00,4.09,10.04,27.84
Risley Moss to Croft ,28/04/2012 14:56,3.59,10.3,22.53
West Didsbury to Altrincham ,30/04/2012 07:53,6.5,13.97,22.95
Altrincham to West Didsbury ,30/04/2012 17:47,6.33,13.25,23.51
West Didsbury to Altrincham ,1/5/2012 7:54:00,6.43,14.67,24.21
